file,type,note
MedicalCenter_PRODUCTION/MANIFEST.json,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/utils/crypto.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/controllers/clinicController.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/controllers/userController.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/controllers/examController.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/controllers/visitController.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/frontend/src/i18n.ts,DB_IO,database query detected
MedicalCenter_PRODUCTION/frontend/src/utils/storage.ts,CLIENT_STORAGE,client storage usage
MedicalCenter_PRODUCTION/frontend/src/hooks/useClinicRedirect.ts,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/hooks/useVoicePrompts.ts,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/components/VisitsManager.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/components/AnalyticsPanel.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/components/CMSPanel.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/components/LiveStatistics.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/pages/AdminVoicePrompts.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/frontend/src/pages/AdminClinicRedirects.tsx,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/scripts/staticCheck.js,NETWORK_IO,network call detected
MedicalCenter_PRODUCTION/scripts/staticCheck.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/scripts/seed.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/models/Exam.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/__tests__/users.test.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/__tests__/exams.test.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/__tests__/clinics.test.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/exams.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/voicePrompts.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/visits.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/clinics.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/users.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/clinicRedirects.js,DB_IO,database query detected
MedicalCenter_PRODUCTION/routes/cms.js,DB_IO,database query detected
